,Firm 1,Firm 2,Pre-Rally Alpha Corr.,Rally Alpha Corr.,Firm 1 Short Int.,Firm 2 Short Int.,Int Level > 0.50
0,AA,AAIC,-0.148,-0.155,0.39826172008683913,0.5497886928206922,False
1,AA,AAN,-0.102,0.091,0.39826172008683913,0.3249373605669713,False
2,AA,AAOI,0.01,0.032,0.39826172008683913,0.43930444734166846,False
3,AA,AAON,-0.207,-0.431,0.39826172008683913,0.6315563028581079,False
4,AA,AAT,-0.049,0.113,0.39826172008683913,0.5012124034977449,False
5,AA,AAWW,-0.035,-0.086,0.39826172008683913,0.6356895243049598,False
6,AA,ABCB,-0.105,0.102,0.39826172008683913,0.4164852283567246,False
7,AA,ABEO,0.043,-0.204,0.39826172008683913,0.5914818814083984,False
8,AA,ABG,-0.029,-0.114,0.39826172008683913,0.5235651945056471,False
9,AA,ABM,-0.125,-0.164,0.39826172008683913,0.5771685155780174,False
